"Source:","E:\CamTrol II\LM_Seet\PCB\L-CON V1.0\L-CON V1.0.kicad_sch"
"Date:","2024-06-21 오후 7:44:43"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field4","Manufacture","Package","Price","Sim.Device","Sim.Params","Sim.Pins","Spice_Netlist_Enabled","Spice_Primitive","Value","Value_1","필드4","필드5"
"30","1","R3","330","CamTrol-12Ch-Main-Board-rescue:R-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000614","","","부품세상","2012(0805)","20","","","","","","1KΩ","","",""
"31","4","R5, R14, R20, R21","202F","Server_Used:R","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","","부품세상","2012(0805)","20","","","","","","10KΩ","R","",""
"32","9","R6, R7, R13, R15, R18, R19, R22, R23, R28","203F","CamTrol-12Ch-Main-Board-rescue:R-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000614","","","부품세상","2012(0805)","20","","","","","","1KΩ","","",""
"33","5","R8, R9, R16, R17, R29","202F","CamTrol-12Ch-Main-Board-rescue:R-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000614","","","부품세상","2012(0805)","20","","","","","","1KΩ","","",""
"34","1","R10","203F","CamTrol-12Ch-Main-Board-rescue:R-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","","부품세상","2012(0805)","20","","","","","","10KΩ","","",""
"35","1","R11","102F","CamTrol-12Ch-Main-Board-rescue:R-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","","부품세상","2012(0805)","20","","","","","","10KΩ","","",""
"36","1","SW1","NW3-SK-02","Switch:SW_SPDT","Server.pretty:NW3-SK-02A","https://www.devicemart.co.kr/goods/view?no=1128484","","","","","80","","","","","","SW_SPDT","","",""
"37","2","SW2, SW5","SW_Push","Switch:SW_Push","Server.pretty:TS-3404","https://ko.aliexpress.com/item/1005001629175919.html?spm=a2g0o.productlist.main.11.5e724c28lXbOYL&algo_pvid=f0595e6e-2810-4e0b-8806-369804a5228c&algo_exp_id=f0595e6e-2810-4e0b-8806-369804a5228c-5&pdp_npi=4%40dis%21KRW%212761%211374.0%21%21%212.05%21%21%402101c59517020762702623391e2bb4%2112000026886281234%21sea%21KR%212278664531%21AB&curPageLogUid=r6hnWocM2BSy","","","","","","","","","","","SW_Push","","",""
"38","1","SW3","EN","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","https://www.devicemart.co.kr/goods/view?no=1322056","","","","","30","","","","","","SW_Push","","",""
"39","1","SW4","BOOT","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","https://www.devicemart.co.kr/goods/view?no=1322056","","","","","30","","","","","","SW_Push","","",""
"40","6","SW6, SW7, SW8, SW9, SW10, SW11","SW_DPDT_x2","Switch:SW_DPDT_x2","Server.pretty:YSS-1201-SMD","~","","","","","","","","","","","SW_DPDT_x2","","ON","OFF"
"41","1","U1","3.3V","CamTrol-12ChOne-Board-cache:AZ1117-3.3","Package_TO_SOT_SMD:SOT-223","","","","","","","","","","","","CamTrol-12ChOne-Board-cache_AZ1117-3.3","","",""
"42","1","U2","ESP32-S3-PCB",":ESP32-S-PCB_1","Server.pretty:ESP32-S3-PCB","","","Espressif Systems","알파마이크로","","","","","","","","ESP32-S3-PCB","","",""
